name,dim,depth,heads,mlp_dim,avg_test_loss,test_accuracy
vit_18_1_6_12,18,1,6,12,0.1702,94.68%
vit_18_1_6_24,18,1,6,24,0.1889,93.74%
vit_18_1_6_32,18,1,6,32,0.1833,94.40%
vit_18_1_6_64,18,1,6,64,0.1471,95.58%
vit_18_2_6_12,18,2,6,12,0.1195,96.39%
vit_18_2_6_24,18,2,6,24,0.1321,95.98%
vit_18_2_6_32,18,2,6,32,0.1134,96.36%
vit_18_2_6_64,18,2,6,64,0.1015,96.74%
vit_18_4_6_12,18,4,6,12,0.0961,97.17%
vit_18_4_6_24,18,4,6,24,0.0928,97.04%
vit_18_4_6_32,18,4,6,32,0.0889,97.41%
vit_18_4_6_64,18,4,6,64,0.1073,96.88%
vit_24_1_6_12,24,1,6,12,0.1432,95.61%
vit_24_1_6_24,24,1,6,24,0.1509,95.20%
vit_24_1_6_32,24,1,6,32,0.1700,94.28%
vit_24_1_6_64,24,1,6,64,0.1836,94.48%
vit_24_2_6_12,24,2,6,12,0.1110,96.63%
vit_24_2_6_24,24,2,6,24,0.1116,96.57%
vit_24_2_6_32,24,2,6,32,0.1060,96.89%
vit_24_2_6_64,24,2,6,64,0.0988,97.10%
vit_24_4_6_12,24,4,6,12,0.0872,97.34%
vit_24_4_6_24,24,4,6,24,0.0782,97.56%
vit_24_4_6_32,24,4,6,32,0.0851,97.50%
vit_24_4_6_64,24,4,6,64,0.0864,97.24%
vit_48_1_6_12,48,1,6,12,0.1533,95.44%
vit_48_1_6_24,48,1,6,24,0.1578,95.20%
vit_48_1_6_32,48,1,6,32,0.1557,94.88%
vit_48_1_6_64,48,1,6,64,0.1182,96.32%
vit_48_2_6_12,48,2,6,12,0.1001,96.96%
vit_48_2_6_24,48,2,6,24,0.0813,97.44%
vit_48_2_6_32,48,2,6,32,0.0841,97.42%
vit_48_2_6_64,48,2,6,64,0.0821,97.53%
vit_48_4_6_12,48,4,6,12,0.0800,97.63%
